"","date","hours","low","high","volume","fluctuation"
"438","2021-02-28","11~12",51967753,53168864,55144839564,26.6398518419944
"439","2021-02-28","13~14",51422002,52507494,32308686170,24.0754984807151
"440","2021-02-28","15~16",51567603,52241895,31654916063,14.9553529842305
"441","2021-02-28","17~18",51674030,52509569,25538644444,18.5317053696187
"442","2021-02-28","19~20",52133220,52606592,17372243482,10.4990795573003
"443","2021-02-28","21~22",51371017,52222385,25439340040,18.8827821766806
"444","2021-02-28","23~24",49839813,51421315,43379343489,35.0766739858496
"445","2021-03-01","1~2",49590023,50405453,28223684257,14.5199743799724
"446","2021-03-01","3~4",49620832,50509713,16981490036,15.8278814206544
"447","2021-03-01","5~6",50974608,51690855,25181191144,12.7538698474818
"448","2021-03-01","7~8",51510929,52296405,59122410686,13.9865977411711
"449","2021-03-01","9~10",52121281,53357282,52865329118,22.0088822506165
"450","2021-03-01","11~12",52935034,53428125,60124807250,8.78023703689458
"451","2021-03-01","13~14",52427543,52985880,81890745955,9.94204154297809
"452","2021-03-01","15~16",52065635,52709793,16170999468,11.4702152933474
"453","2021-03-01","17~18",52964551,53863215,29720378024,16.0020826511209
"454","2021-03-01","19~20",53577457,54160601,23517924860,10.3837679995028
"455","2021-03-01","21~22",53919939,54498144,24050499924,10.2958215743496
"456","2021-03-01","23~24",54160164,55205942,28551974698,18.6216717157067
"457","2021-03-02","1~2",54933836,55532182,22775517946,27.5665106696263
"458","2021-03-02","3~4",54544471,55061054,12266370118,23.7995921778495
"459","2021-03-02","5~6",54700738,55349250,15012966851,29.8777178545201
"460","2021-03-02","7~8",55435379,56296192,45200122869,39.6586770013554
"461","2021-03-02","9~10",55423649,56715025,68688477574,59.4952256428543
"462","2021-03-02","11~12",55550636,56141642,113630077978,27.2283481544343
"463","2021-03-02","13~14",55264654,55805424,37709719373,24.9139159864256
"464","2021-03-02","15~16",55147581,55582659,21020460421,20.0445600524106
"465","2021-03-02","17~18",55418306,55968964,21193117038,25.3694678870003
"466","2021-03-02","19~20",55425887,55855504,15222592834,19.7929652982603
"467","2021-03-02","21~22",55506513,55870634,17725120003,16.7754868112012
"468","2021-03-02","23~24",55305252,56188872,26978926965,40.7094225713804
"469","2021-03-03","1~2",54298094,55189639,25588018697,17.5850573808049
"470","2021-03-03","3~4",54477021,55080715,31658556526,11.9074119987747
"471","2021-03-03","5~6",54553692,55069225,14697139553,10.1685023040884
"472","2021-03-03","7~8",55128492,55763218,56334373829,12.5194949566076
"473","2021-03-03","9~10",55674423,56160742,22959185131,9.5922780346204
"474","2021-03-03","11~12",55793778,56105836,56198175426,6.1551103266119
"475","2021-03-03","13~14",55819763,56315065,70153505485,9.76946098158524
"476","2021-03-03","15~16",56047962,56397277,20013502777,6.88997674708047
"477","2021-03-03","17~18",56885937,57880828,36362805344,19.6234798273181
"478","2021-03-03","19~20",57787610,58414664,33919255976,12.3681705027376
"479","2021-03-03","21~22",57906494,59367995,42640657185,28.8270125984709
"480","2021-03-03","23~24",57389856,58189879,32063453090,15.7798544784208
"493","2021-03-05","1~2",56277953,57311621,22850954679,35.7714157572133
"494","2021-03-05","3~4",55408236,56066357,21462489250,22.7751269358759
"495","2021-03-05","5~6",55550230,56084537,16008970087,18.4903836038161
"496","2021-03-05","7~8",56086235,56640506,15705559186,19.1812636002724
"497","2021-03-05","9~10",54421973,55670905,76675118073,43.2209044146554
"498","2021-03-05","11~12",54595863,55141137,29430572560,18.8699107988239
"499","2021-03-05","13~14",54455176,55013942,21710844063,19.3368188789776
"500","2021-03-05","15~16",54768030,55173448,18617436581,14.0300133441859
"501","2021-03-05","17~18",54507890,55085946,20211663468,20.004374235201
"502","2021-03-05","19~20",54762600,55222222,14440626669,15.9058127495114
"503","2021-03-05","21~22",55136970,55909880,65848759337,26.7475484903352
"504","2021-03-05","23~24",55573861,56455393,52024857276,30.5065530472916
"505","2021-03-06","1~2",55035762,55821061,19448113546,35.8191969793792
"506","2021-03-06","3~4",55866816,56647255,14331548164,35.5975217991997
"507","2021-03-06","5~6",56553498,57035067,34515821925,21.9654104617001
"508","2021-03-06","7~8",56462570,56912297,77965614994,20.5130275219315
"509","2021-03-06","9~10",56239105,56653004,16072964439,18.878834444674
"510","2021-03-06","11~12",56040530,56331799,13854337415,13.2854131801859
"511","2021-03-06","13~14",55663636,56181590,18865590227,23.6250095215419
"512","2021-03-06","15~16",55978068,56319185,16617278677,15.5590889788665
"513","2021-03-06","17~18",55802344,56193676,16314350834,17.8495044465031
"514","2021-03-06","19~20",55365829,55837527,13857741987,21.5151726626154
"515","2021-03-06","21~22",54842670,55519248,21043860845,30.8601954846682
"516","2021-03-06","23~24",54903607,55331275,13278737272,19.5068685096723
"517","2021-03-07","1~2",54951818,55564015,13147956187,19.7306282279572
"518","2021-03-07","3~4",55443136,55830824,12995625776,12.4948795835986
"519","2021-03-07","5~6",55413153,55854826,43571621104,14.23477371063
"520","2021-03-07","7~8",55824209,56397050,44471624685,18.4622152750361
"521","2021-03-07","9~10",56232104,56642277,20613847534,13.2195534642377
"522","2021-03-07","11~12",56490990,56975306,25190866655,15.6091240905319
"523","2021-03-07","13~14",56342263,56675848,57026836011,10.7511824092949
"524","2021-03-07","15~16",56351028,56931316,17591573768,18.7022262329689
"525","2021-03-07","17~18",57277473,58054593,33280798475,25.0459669167117
"526","2021-03-07","19~20",57528436,58000570,23529052309,15.2165078034985
"527","2021-03-07","21~22",57553037,57916836,16196510592,11.7249558862631
